ID,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
6785,2011,0.06,0,0,0.01,0.07,49,25,4.4,5
2642,2013,0.06,0,0,0.01,0.06,76,10,7.9,100
4060,2016,0.06,0,0,0.01,0.08,69,41,7.3,30
5076,2016,0.06,0,0,0.01,0.08,60,19,6.7,94
5874,2005,0.07,0,0,0.01,0.07,61,9,6,4
3183,2005,0.07,0,0,0.01,0.08,77,36,7.7,13
6339,2005,0.07,0,0,0.01,0.08,45,19,5.4,5
6412,2005,0.07,0,0,0.01,0.07,51,11,5.3,4
6610,2006,0.07,0,0,0.01,0.07,33,8,4.9,13
3184,2006,0.07,0,0,0.01,0.08,72,49,7.7,18
2635,2006,0.07,0,0,0.01,0.08,78,51,7.9,166
4761,2006,0.07,0,0,0.01,0.08,61,33,6.9,12
6844,2007,0.07,0,0,0.01,0.08,73,17,4.2,5
6128,2007,0.07,0,0,0.01,0.08,54,6,5.7,6
7202,2007,0.07,0,0,0.01,0.08,20,6,1.7,52
268,2007,0.07,0,0,0.01,0.08,83,41,9,21
4617,2007,0.07,0,0,0.01,0.07,46,22,7,21
5872,2007,0.07,0,0,0.01,0.08,51,20,6,9
5561,2008,0.07,0,0,0.01,0.08,51,11,6.3,4
1614,2008,0.07,0,0,0.01,0.08,75,15,8.3,4
6203,2008,0.07,0,0,0.01,0.08,59,23,5.6,5
7157,2008,0.07,0,0,0.01,0.07,23,9,2.4,12
5566,2008,0.07,0,0,0,0.07,70,21,6.3,4
5871,2008,0.07,0,0,0.01,0.08,54,11,6,6
943,2008,0.07,0,0,0.01,0.07,78,15,8.6,18
2124,2008,0.07,0,0,0.01,0.08,83,38,8.1,27
4619,2008,0.07,0,0,0,0.07,61,16,7,9
7158,2008,0.07,0,0,0.01,0.07,36,7,2.4,15
269,2008,0.07,0,0,0.01,0.08,73,22,9,22
2128,2008,0.07,0,0,0.01,0.07,50,22,8.1,24
5334,2009,0.07,0,0,0.01,0.08,49,8,6.5,8
5328,2009,0.07,0,0,0.01,0.09,62,12,6.5,11
7093,2009,0.07,0,0,0.01,0.08,69,13,3,13
6269,2009,0.07,0,0,0.01,0.07,58,22,5.5,4
2382,2009,0.07,0,0,0.01,0.08,62,12,8,6
6570,2009,0.07,0,0,0.01,0.08,31,6,5,11
4618,2010,0.07,0,0,0.01,0.07,47,11,7,5
4932,2011,0.07,0,0,0.01,0.08,67,5,6.8,4
6746,2012,0.07,0,0,0.01,0.08,76,4,4.5,15
6270,2012,0.07,0,0,0.01,0.07,49,24,5.5,6
5761,2016,0.07,0,0,0.02,0.08,77,22,6.1,55
749,2005,0.08,0,0,0.01,0.09,70,37,8.7,22
5333,2005,0.08,0,0,0.01,0.08,34,6,6.5,16
3176,2005,0.08,0,0,0.01,0.09,68,24,7.7,26
7212,2006,0.08,0,0,0.01,0.09,45,12,1.4,5
6125,2006,0.08,0,0,0.01,0.09,43,9,5.7,7
1882,2006,0.08,0,0,0.01,0.09,79,25,8.2,16
5558,2006,0.08,0,0,0.01,0.09,63,24,6.3,6
4925,2006,0.08,0,0,0.01,0.1,74,34,6.8,6
3624,2006,0.08,0,0,0.01,0.09,59,16,7.5,19
6935,2007,0.08,0,0,0.01,0.09,67,15,3.8,4
5868,2007,0.08,0,0,0.01,0.09,64,17,6,4
4051,2007,0.08,0,0,0.01,0.09,73,28,7.3,6
3628,2007,0.08,0,0,0.01,0.08,47,23,7.5,6
6337,2007,0.08,0,0,0.01,0.09,44,4,5.4,7
4052,2007,0.08,0,0,0.01,0.09,46,17,7.3,7
5671,2007,0.08,0,0,0.01,0.1,62,25,6.2,32
5074,2007,0.08,0,0,0.01,0.08,43,11,6.7,55
7052,2008,0.08,0,0,0.01,0.08,38,5,3.2,5
6408,2008,0.08,0,0,0.01,0.09,48,15,5.3,8
748,2008,0.08,0,0,0.01,0.09,80,32,8.7,27
5441,2008,0.08,0,0,0.01,0.09,39,7,6.4,5
2927,2008,0.08,0,0,0.01,0.08,60,28,7.8,5
4406,2008,0.08,0,0,0.01,0.08,48,6,7.1,7
7147,2008,0.08,0,0,0.01,0.09,28,5,2.5,11
4924,2009,0.08,0,0,0.01,0.1,72,7,6.8,6
2377,2009,0.08,0,0,0.01,0.09,82,46,8,38
3392,2009,0.08,0,0,0.01,0.09,69,15,7.6,8
1610,2009,0.08,0,0,0.01,0.09,79,4,8.3,30
1883,2009,0.08,0,0,0.01,0.09,54,6,8.2,5
2121,2009,0.08,0,0,0.01,0.09,45,10,8.1,31
1884,2010,0.08,0,0,0.01,0.09,56,7,8.2,5
562,2011,0.08,0,0,0.01,0.09,65,5,8.8,8
3182,2011,0.08,0,0,0.01,0.08,75,8,7.7,18
4597,2014,0.08,0,0,0.03,0.11,68,6,7,25
5758,2005,0.09,0,0,0.01,0.1,75,37,6.1,24
6998,2006,0.09,0,0,0.01,0.1,25,4,3.5,4
6405,2006,0.09,0,0,0.01,0.1,66,13,5.3,6
3170,2006,0.09,0,0,0.01,0.1,69,17,7.7,7
5324,2006,0.09,0,0,0.01,0.1,79,22,6.5,33
3387,2006,0.09,0,0,0.01,0.1,71,8,7.6,27
2631,2006,0.09,0,0,0.01,0.1,59,34,7.9,16
6652,2006,0.09,0,0,0.01,0.1,48,19,4.8,6
6999,2007,0.09,0,0,0.01,0.1,43,25,3.5,6
3618,2007,0.09,0,0,0.01,0.1,71,23,7.5,4
5757,2007,0.09,0,0,0.01,0.1,61,15,6.1,9
3391,2007,0.09,0,0,0.01,0.09,46,13,7.6,17
7229,2007,0.09,0,0,0.01,0.1,72,7,0.6,24
2376,2008,0.09,0,0,0.01,0.09,70,8,8,6
3171,2008,0.09,0,0,0.01,0.1,78,30,7.7,17
7069,2008,0.09,0,0,0.01,0.1,49,35,3.1,45
3617,2008,0.09,0,0,0.01,0.1,77,12,7.5,14
4604,2008,0.09,0,0,0.01,0.09,52,29,7,4
2371,2008,0.09,0,0,0.01,0.1,62,19,8,8
1877,2009,0.09,0,0,0.01,0.1,71,7,8.2,5
6651,2009,0.09,0,0,0.01,0.1,44,25,4.8,76
7195,2009,0.09,0,0,0.01,0.1,32,4,1.8,4
560,2009,0.09,0,0,0.01,0.1,56,14,8.8,4
5321,2009,0.09,0,0,0.01,0.11,77,5,6.5,13
7225,2009,0.09,0,0,0.01,0.1,28,16,0.9,50
6265,2010,0.09,0,0,0.01,0.1,56,15,5.5,4
4045,2011,0.09,0,0,0.01,0.1,67,5,7.3,8
2634,2012,0.09,0,0,0.01,0.09,71,11,7.9,17
7022,2012,0.09,0,0,0.01,0.1,72,7,3.4,27
5669,2013,0.09,0,0,0.01,0.1,68,7,6.2,20
5554,2013,0.09,0,0,0.01,0.1,71,17,6.3,39
6711,2014,0.09,0,0,0.02,0.11,67,7,4.6,20
6914,2004,0.1,0,0,0.01,0.11,28,17,3.9,26
5438,2005,0.1,0,0,0.01,0.11,66,18,6.4,5
3827,2005,0.1,0,0,0.01,0.1,61,23,7.4,10
3165,2005,0.1,0,0,0.01,0.11,77,17,7.7,20
6197,2005,0.1,0,0,0.01,0.11,43,30,5.6,22
3611,2005,0.1,0,0,0.01,0.11,58,25,7.5,18
4041,2006,0.1,0,0,0.01,0.11,72,15,7.3,8
4033,2006,0.1,0,0,0.01,0.12,74,45,7.3,9
2913,2006,0.1,0,0,0.01,0.1,50,17,7.8,6
4042,2006,0.1,0,0,0.01,0.11,59,15,7.3,9
5550,2006,0.1,0,0,0.01,0.11,57,9,6.3,10
6933,2006,0.1,0,0,0.01,0.11,38,14,3.8,29
6196,2007,0.1,0,0,0.01,0.11,39,6,5.6,7
6868,2007,0.1,0,0,0.01,0.11,37,7,4.1,12
6463,2007,0.1,0,0,0.01,0.11,55,29,5.2,18
4040,2008,0.1,0,0,0.01,0.11,45,16,7.3,4
4596,2008,0.1,0,0,0.01,0.11,70,7,7,6
3826,2008,0.1,0,0,0.01,0.1,71,6,7.4,7
1529,2008,0.1,0,0,0.28,0.38,70,9,8.3,4
6401,2008,0.1,0,0,0.01,0.11,57,7,5.3,12
6932,2008,0.1,0,0,0.01,0.11,26,4,3.8,8
6121,2008,0.1,0,0,0.01,0.11,44,31,5.7,9
1163,2008,0.1,0,0,0.01,0.11,79,29,8.5,11
2113,2008,0.1,0,0,0.01,0.11,71,14,8.1,14
6400,2009,0.1,0,0,0.01,0.11,68,4,5.3,4
6995,2009,0.1,0,0,0.01,0.11,48,17,3.5,4
6335,2009,0.1,0,0,0.01,0.11,51,10,5.4,5
5666,2010,0.1,0,0,0.01,0.11,62,22,6.2,9
6039,2010,0.1,0,0,0.01,0.11,74,27,5.8,11
258,2010,0.1,0,0,0.01,0.11,51,5,9,4
4399,2010,0.1,0,0,0.01,0.11,54,6,7.1,10
6404,2011,0.1,0,0,0.01,0.1,47,4,5.3,6
3610,2013,0.1,0,0,0.02,0.11,75,7,7.5,21
5549,2005,0.11,0,0,0.01,0.12,66,9,6.3,12
3157,2005,0.11,0,0,0.01,0.12,73,23,7.7,22
5664,2005,0.11,0,0,0.01,0.12,59,30,6.2,17
3156,2006,0.11,0,0,0.01,0.12,66,21,7.7,6
4031,2006,0.11,0,0,0.01,0.12,70,17,7.3,11
5207,2006,0.11,0,0,0.01,0.12,79,24,6.6,5
6648,2007,0.11,0,0,0.01,0.12,61,8,4.8,6
6605,2007,0.11,0,0,0.01,0.12,28,18,4.9,8
1866,2007,0.11,0,0,0.01,0.12,80,55,8.2,26
6606,2007,0.11,0,0,0.01,0.12,61,17,4.9,7
5208,2007,0.11,0,0,0.01,0.12,61,12,6.6,13
4588,2008,0.11,0,0,0.01,0.12,59,8,7,6
4039,2008,0.11,0,0,0.01,0.11,66,21,7.3,8
1379,2008,0.11,0,0,0.01,0.12,64,4,8.4,18
